date,tweet_id,Tweet
2020-12-11 00:42:51,1337196113166790661,RT @Feisty_FL: Why do the communist Chinese always prefer the Democrat party?
2020-12-11 00:42:51,1337196113166733313,@Domestic_Maid Well Smash Brothers has gotten alot more interesting by the sound of it.
2020-12-11 00:42:51,1337196113162604549,2v2 CW Console Chall w/ @noKihzy
2020-12-11 00:42:51,1337196113162604547,Can never go wrong with the Wood
2020-12-11 00:42:51,1337196113162452994,@lalady71055 I denounce Anons and Proud Boys. I refute the allegations and confound the alligators.
2020-12-11 00:42:51,1337196113162432512,Daisuke Motomiya is a ray of sunshine bringing warmth and light to an otherwise cold and unforgiving world
2020-12-11 00:42:51,1337196113162428417,RT @lockszcreenbts: 2020’s Entertainer Of The Year 💜 • @BTS_twt https://t.co/Q2hLRgeKaO
2020-12-11 00:42:51,1337196113158434818,RT @obsowete: this too https://t.co/vhWIJ9yS0T
2020-12-11 00:42:51,1337196113158430720,"RT @ntltcjas: ‼️how you can help save brandon’s life, a thread‼️ please please i beg of you to spare a few minuets of your day or night to…"
2020-12-11 00:42:51,1337196113158262785,"RT @AnhThu_OnlyGulf: Gulf morning, My Sunflower 🌻 

Life gives us new opportunities every day, so hoping today will be full of good luck an…"
2020-12-11 00:42:51,1337196113154084866,"RT @JulienitedPH: We're excited for @myjaps's performance at today's #Lazada1212SuperShow! 

Make sure to catch the show at GMA and on @Laz…"
2020-12-11 00:42:51,1337196113145688067,@JFKjrQ WOW!!! SPOT ON!!!!!
2020-12-11 00:42:51,1337196113141637120,"@tonynikaj @gambit_1 @NateSilver538 California, NY, Illinois, and Wisconsin famously have no farmland."
2020-12-11 00:42:51,1337196113137459201,my FBI agent watching me shake my bones for a tik tok when no one is home👁👄👁
2020-12-11 00:42:51,1337196113137373185,RT @j_acree33: Just like his daddy
2020-12-11 00:42:51,1337196113137319937,"RT @wandavision: A visionary new age of television begins. Marvel Studios' #WandaVision, an Original Series, starts streaming Jan. 15 on #D…"
2020-12-11 00:42:51,1337196113133264900,@epsiRIZING 😔 I thought I could trust you
2020-12-11 00:42:51,1337196113133248514,@ComicDaveSmith @KennedyNation Hope Jonah brought his own lube
2020-12-11 00:42:51,1337196113128984577,RT @HuffmanForNC: Why has @reptedbudd signed his name to the amicus brief? This means he is in support of sedition along with the other 105…
2020-12-11 00:42:51,1337196113124790274,@Rickaerian @KiloFourFoxtrot I have an i5-8400 and my RTX 2070 works excellently. CPUs age well.
2020-12-11 00:42:51,1337196113120669696,anyway heading back in talk when im off love yall
2020-12-11 00:42:51,1337196113120649217,@kenzzz_99 @KoRnDoGG408 @KimKardashian He hasn’t even be convicted yet.  Give us some time to fry this prick too.
2020-12-11 00:42:51,1337196113116471298,RT @TheEconomist: We're hiring an editor to lead our social-media strategy in North America. Apply by December 20th https://t.co/S3D0p2y2nB
2020-12-11 00:42:51,1337196113116372992,@RepAdamSchiff Why on earth would you not want this investigated?
2020-12-11 00:42:51,1337196113108086784,IT IS TIME https://t.co/X2b4EL8QIz
2020-12-11 00:42:51,1337196113108066304,@samauribear @zerosum24 Work shall set them free am I right
2020-12-11 00:42:51,1337196113103732737,"RT @Stray_Kids: [SKZ VLOG] Hyunjin : Hyun.e's Holiday with 까미 2

https://t.co/4RQQrT9NLU

#StrayKids #스트레이키즈
#SKZVLOG #브이로그
#YouMakeStrayKi…"
2020-12-11 00:42:51,1337196113099706371,MULTIVERSE OF MADNESS CARALHO
2020-12-11 00:42:51,1337196113099706368,"// caps 

LISTEN TO ME NOW CHILDREN! 
SPAM THE ORANGE MAN! BUT DONT THE THE HASHATAG! DO ALL YOU CAN TO SAVE THAT M… https://t.co/m1R80OQrwv"
